OBJORIG_YE,OBJORIG,OBJECTID,DATEOFCHNG,NAMN1,NAMN2,UUID,OBJVAL,NLN1,NLN2,slug,latitude,longitude,city,water_name,water,area
"2020",TLM,"3341",2020/05/05,N_A,N_A,{D11A28A4-C2BE-4188-9052-65A2EA64A3F7},Wald,N_A,N_A,sihl_zurich_himmelhebern,47.343055399999997,8.518612200000000,Zürich,Sihl,r,"160787"
"1993",LK200,"3350",2005/01/01,N_A,N_A,{F3B2CC9E-5F86-4573-881F-1ADB5D635090},Wald,N_A,N_A,urnaesch_urnaesch_meierr,47.325098599999997,9.295418800000000,Hundwil,Urnäsch,r,"205554"
"1993",LK200,"3357",2005/01/01,N_A,N_A,{86CD5043-4237-497B-9DC0-04D9BD13BAAE},Wald,N_A,N_A,greifensee_maur_simmenc,47.332386399999997,8.685514599999999,Maur,Greifensee,l,"692227"
"1993",LK200,"3368",2005/01/01,N_A,N_A,{8F13C116-7B53-4E90-9437-B0A7CBFA40F2},Wald,N_A,N_A,urnaesch_urnaesch_meierr,47.325098599999997,9.295418800000000,Hundwil,Urnäsch,r,"360475"
"2022",TLM,"3374",2022/04/27,N_A,N_A,{3A611DAE-E66B-48C8-9A5B-B0A58FF63AFF},Wald,N_A,N_A,kusnachter-dorfbach-tobelweg-1-4,47.317770000000003,8.588258000000000,Küsnacht (ZH),Dorfbach,r,"568261"
"2022",TLM,"3374",2022/04/27,N_A,N_A,{3A611DAE-E66B-48C8-9A5B-B0A58FF63AFF},Wald,N_A,N_A,zurichsee_kusnachterhorn_thirkell-whitej,47.317684900000003,8.576860200000000,Küsnacht (ZH),Zürichsee,l,"81442"
"2019",TLM,"3390",2019/05/09,N_A,N_A,{19F2C858-1784-4091-BB47-9AA60FD56F85},Wald,N_A,N_A,reuss,47.329869100000003,8.356849300000000,Bremgarten (AG),Reuss,r,"193131"
"2008",GN200,"3450",2011/09/15,N_A,N_A,{8A80F7B5-C09A-469D-9B8C-7960A261062D},Wald,N_A,N_A,sihl_adliswil_oggi_fort,47.312421700000002,8.526254900000000,Adliswil,Sihl,r,"279976"
"2019",TLM,"3498",2019/05/07,N_A,N_A,{9801C681-4441-4140-A1B1-C746A9255188},Wald,N_A,N_A,pfaffner_rothrist_ischik,47.298567800000001,7.899466400000000,Rothrist,Pfaffnern,r,"248304"
"2022",TLM,"3517",2022/04/21,N_A,N_A,{23073505-4206-4933-B5E8-C2A3F0407CE8},Wald,N_A,N_A,pfaffner_rothrist_ischik,47.298567800000001,7.899466400000000,Rothrist,Pfaffnern,r,"933734"
"2022",TLM,"3519",2022/04/27,N_A,N_A,{50346B32-5142-4C20-8B40-CABFF1286D2C},Wald,N_A,N_A,jona_tann_nusslin,47.268427199999998,8.864125100000004,Dürnten,Jona,r,"36455"
"2022",TLM,"3542",2022/06/24,N_A,N_A,{76381CAA-7C37-4ACE-A887-51699E79BEA0},Wald,N_A,N_A,toss_bauma_kurthe,47.370175699999997,8.867824900000000,Bauma,Töss,r,"1338982"
