OBJECTID,UUID,DATUM_AEND,OBJEKTART,KANTONSNUM,KANTONSFLA,NAME,ICC,EINWOHNERZ,slug,water_name,water
"94",{86B2872E-6ADD-46E8-9447-2296DF685D5E},2020/12/02,Kanton,CH23000000,5224.569999999999709,Valais,CH,"348503",lavey-les-bains-2,Rhône,r
"94",{86B2872E-6ADD-46E8-9447-2296DF685D5E},2020/12/02,Kanton,CH23000000,5224.569999999999709,Valais,CH,"348503",les-glariers,Rhône,r
"94",{86B2872E-6ADD-46E8-9447-2296DF685D5E},2020/12/02,Kanton,CH23000000,5224.569999999999709,Valais,CH,"348503",les-vieux-ronquoz,Rhône,r
"94",{86B2872E-6ADD-46E8-9447-2296DF685D5E},2020/12/02,Kanton,CH23000000,5224.569999999999709,Valais,CH,"348503",leuk-mattenstrasse,Rhône,r
"94",{86B2872E-6ADD-46E8-9447-2296DF685D5E},2020/12/02,Kanton,CH23000000,5224.569999999999709,Valais,CH,"348503",tschilljus,Rhône,r
"97",{D5D00896-5FF4-476B-8A3A-0024A9CC1DAC},2009/03/25,Kanton,CH06000000,490.800000000000011,Obwalden,CH,"38108",,,
"98",{C03B02F5-275A-4B73-818D-E2294034A3E8},2009/03/25,Kanton,CH06000000,490.800000000000011,Obwalden,CH,"38108",,,
"99",{93DE0361-4373-44DF-B1EC-2B55D7B43390},2009/03/25,Kanton,CH11000000,789.190000000000055,Solothurn,CH,"277462",aare-solothurn-lido-strand,Aare,r
"99",{93DE0361-4373-44DF-B1EC-2B55D7B43390},2009/03/25,Kanton,CH11000000,789.190000000000055,Solothurn,CH,"277462",aare_solothurn_nguyena,Aare,r
"99",{93DE0361-4373-44DF-B1EC-2B55D7B43390},2009/03/25,Kanton,CH11000000,789.190000000000055,Solothurn,CH,"277462",emme_biberist_jennim,Emme,r
"99",{93DE0361-4373-44DF-B1EC-2B55D7B43390},2009/03/25,Kanton,CH11000000,789.190000000000055,Solothurn,CH,"277462",emme_luterbach_huggenbergerk,Emme,r
"99",{93DE0361-4373-44DF-B1EC-2B55D7B43390},2009/03/25,Kanton,CH11000000,789.190000000000055,Solothurn,CH,"277462",spackmatt,Aare,r
"100",{A6C5E34D-90B8-4A2F-A42F-6513B200475B},2009/03/25,Kanton,CH11000000,789.190000000000055,Solothurn,CH,"277462",,,
"101",{3412F984-44E1-42DE-BA22-D8FEA8722A4A},2009/03/25,Kanton,CH11000000,789.190000000000055,Solothurn,CH,"277462",,,
"102",{8D2E46F4-5920-45A0-832F-6031DBCCEA37},2012/01/16,Kanton,CH11000000,789.190000000000055,Solothurn,CH,"277462",,,
"103",{55E95778-5148-4166-B80C-D4E518AF8571},2009/03/25,Kanton,CH24000000,802.340000000000032,Neuchâtel,CH,"175894",camp-des-peches,Bielersee,l
"103",{55E95778-5148-4166-B80C-D4E518AF8571},2009/03/25,Kanton,CH24000000,802.340000000000032,Neuchâtel,CH,"175894",evole-plage,Neuenburgersee,l
"103",{55E95778-5148-4166-B80C-D4E518AF8571},2009/03/25,Kanton,CH24000000,802.340000000000032,Neuchâtel,CH,"175894",hauterive-petite-plage,Neuenburgersee,l
"103",{55E95778-5148-4166-B80C-D4E518AF8571},2009/03/25,Kanton,CH24000000,802.340000000000032,Neuchâtel,CH,"175894",plage-de-serriere,Neuenburgersee,l
"103",{55E95778-5148-4166-B80C-D4E518AF8571},2009/03/25,Kanton,CH24000000,802.340000000000032,Neuchâtel,CH,"175894",pointe-dareuse,Neuenburgersee,l
"104",{235A4813-5803-42A7-9F46-BB1E46B03B83},2009/03/25,Kanton,CH13000000,517.320000000000050,Basel-Landschaft,CH,"290969",birs_basel_grunern,Birs,r
"104",{235A4813-5803-42A7-9F46-BB1E46B03B83},2009/03/25,Kanton,CH13000000,517.320000000000050,Basel-Landschaft,CH,"290969",birs_basel_laderachs,Birs,r
"104",{235A4813-5803-42A7-9F46-BB1E46B03B83},2009/03/25,Kanton,CH13000000,517.320000000000050,Basel-Landschaft,CH,"290969",birs_reinach_dinuccin,Birs,r
"105",{94D62C6A-DCD0-473B-8910-9C29127B7D5B},2009/03/25,Kanton,CH13000000,517.320000000000050,Basel-Landschaft,CH,"290969",,,
"106",{77ECEE6B-DB86-4A07-8AEA-22DE59B46F5D},2009/03/25,Kanton,CH14000000,298.189999999999998,Schaffhausen,CH,"83107",,,
"107",{3E257573-10E0-4D33-B97F-51F68C6C92D6},2009/03/25,Kanton,CH14000000,298.189999999999998,Schaffhausen,CH,"83107",,,
