yx,loc_date,date,slug,team,pcs/m,quantity
Year 5,"('preverenges', '2020-10-08')",2020-10-08,preverenges,PC,6.949999999999999,299.0
Year 5,"('preverenges', '2020-11-12')",2020-11-12,preverenges,PC,2.2199999999999998,111.0
Year 5,"('quai-maria-belgia', '2020-04-28')",2020-04-28,quai-maria-belgia,HD,6.94,305.0
Year 5,"('quai-maria-belgia', '2020-05-31')",2020-05-31,quai-maria-belgia,HD,2.47,103.0
Year 5,"('quai-maria-belgia', '2020-06-28')",2020-06-28,quai-maria-belgia,HD,6.5600000000000005,270.0
Year 5,"('quai-maria-belgia', '2020-07-21')",2020-07-21,quai-maria-belgia,HD,12.370000000000001,494.0
Year 5,"('quai-maria-belgia', '2020-08-30')",2020-08-30,quai-maria-belgia,HD,6.26,258.0
Year 5,"('quai-maria-belgia', '2020-09-27')",2020-09-27,quai-maria-belgia,HD,12.94,516.0
Year 5,"('quai-maria-belgia', '2020-10-25')",2020-10-25,quai-maria-belgia,HD,5.54,262.0
Year 5,"('rocky-plage', '2020-11-01')",2020-11-01,rocky-plage,EINT,0.68,99.0
Year 5,"('tiger-duck-beach', '2020-07-14')",2020-07-14,tiger-duck-beach,SWE,10.64,296.0
Year 5,"('tiger-duck-beach', '2020-10-01')",2020-10-01,tiger-duck-beach,SWE,15.01,450.0
Year 5,"('tolochenaz', '2020-05-19')",2020-05-19,tolochenaz,HD,5.35,186.0
Year 5,"('tschilljus', '2020-11-12')",2020-11-12,tschilljus,HD,1.02,51.0
Year 5,"('versoix', '2020-05-14')",2020-05-14,versoix,HD,4.46,226.0
Year 5,"('versoix', '2020-08-04')",2020-08-04,versoix,HD,2.91,257.0
Year 5,"('versoix', '2020-10-13')",2020-10-13,versoix,HD,1.96,100.0
Year 5,"('vidy-ruines', '2020-06-02')",2020-06-02,vidy-ruines,PC,10.56,201.0
Year 5,"('vidy-ruines', '2020-06-30')",2020-06-30,vidy-ruines,PC,66.17,397.0
Year 5,"('vidy-ruines', '2020-08-01')",2020-08-01,vidy-ruines,PC,18.6,93.0
Year 5,"('vidy-ruines', '2020-09-02')",2020-09-02,vidy-ruines,PC,6.6,33.0
Year 5,"('villa-barton', '2020-10-20')",2020-10-20,villa-barton,HD,6.81,115.0
Year 6,"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,HD,5.98,165.0
Year 6,"('baby-plage-geneva', '2020-11-18')",2020-11-18,baby-plage-geneva,ASL,0.88,88.0
Year 6,"('baby-plage-geneva', '2020-12-16')",2020-12-16,baby-plage-geneva,ASL,1.5,150.0
Year 6,"('baby-plage-geneva', '2021-01-16')",2021-01-16,baby-plage-geneva,ASL,1.89,97.0
Year 6,"('baby-plage-geneva', '2021-02-10')",2021-02-10,baby-plage-geneva,ASL,1.13,113.0
Year 6,"('baby-plage-geneva', '2021-03-10')",2021-03-10,baby-plage-geneva,ASL,0.5,50.0
Year 6,"('baby-plage-geneva', '2021-04-14')",2021-04-14,baby-plage-geneva,ASL,0.58,58.0
Year 6,"('baby-plage-ii-geneve', '2020-12-08')",2020-12-08,baby-plage-ii-geneve,EINT,0.22000000000000003,20.0
Year 6,"('cully-plage', '2021-02-04')",2021-02-04,cully-plage,HD,6.14,74.0
Year 6,"('grand-clos', '2020-12-08')",2020-12-08,grand-clos,HD,23.03,716.0
Year 6,"('grand-clos', '2021-01-07')",2021-01-07,grand-clos,HD,6.25,433.0
Year 6,"('grand-clos', '2021-02-09')",2021-02-09,grand-clos,HD,2.58,156.0
Year 6,"('grand-clos', '2021-03-09')",2021-03-09,grand-clos,HD,49.52,890.0
Year 6,"('grand-clos', '2021-04-10')",2021-04-10,grand-clos,HD,17.71,551.0
Year 6,"('la-pecherie', '2021-01-22')",2021-01-22,la-pecherie,HD,8.92,160.0
Year 6,"('lavey-la-source', '2021-01-05')",2021-01-05,lavey-la-source,HD,4.55,91.0
Year 6,"('lavey-les-bains', '2021-01-05')",2021-01-05,lavey-les-bains,HD,1.16,86.0
Year 6,"('lavey-les-bains-2', '2021-02-24')",2021-02-24,lavey-les-bains-2,HD,4.17,417.0
Year 6,"('le-pierrier', '2020-11-17')",2020-11-17,le-pierrier,HD,2.6799999999999997,150.0
Year 6,"('les-glariers', '2020-12-01')",2020-12-01,les-glariers,HD,0.09,3.0
Year 6,"('leuk-mattenstrasse', '2021-02-14')",2021-02-14,leuk-mattenstrasse,HD,0.3,15.0
Year 6,"('maladaire', '2020-11-27')",2020-11-27,maladaire,PC,1.58,81.0
Year 6,"('maladaire', '2020-12-29')",2020-12-29,maladaire,PC,2.3200000000000003,127.0
Year 6,"('maladaire', '2021-01-29')",2021-01-29,maladaire,PC,2.34,117.0
Year 6,"('maladaire', '2021-03-02')",2021-03-02,maladaire,PC,1.99,149.0
Year 6,"('maladaire', '2021-03-30')",2021-03-30,maladaire,PC,1.08,93.0
Year 6,"('maladaire', '2021-05-01')",2021-05-01,maladaire,PC,1.75,136.0
Year 6,"('maladaire', '2021-06-02')",2021-06-02,maladaire,PC,11.1,0.0
Year 6,"('oyonne', '2021-01-06')",2021-01-06,oyonne,HD,9.05,197.0
Year 6,"('plage-de-st-sulpice', '2021-10-07')",2021-10-07,plage-de-st-sulpice,SWE,7.4,0.0
Year 6,"('pont-sous-terre', '2021-02-06')",2021-02-06,pont-sous-terre,HD,16.0,320.0
Year 6,"('preverenges', '2020-12-10')",2020-12-10,preverenges,PC,3.2800000000000002,164.0
Year 6,"('preverenges', '2021-01-07')",2021-01-07,preverenges,PC,2.15,151.0
Year 6,"('preverenges', '2021-02-07')",2021-02-07,preverenges,PC,4.42,267.0
Year 6,"('preverenges', '2021-03-08')",2021-03-08,preverenges,PC,2.61,132.0
Year 6,"('preverenges', '2021-04-08')",2021-04-08,preverenges,PC,1.8900000000000001,142.0
Year 6,"('preverenges', '2021-05-12')",2021-05-12,preverenges,PC,4.74,237.0
Year 6,"('preverenges-le-sout', '2021-02-04')",2021-02-04,preverenges-le-sout,HD,2.6799999999999997,268.0
Year 6,"('quai-maria-belgia', '2020-11-30')",2020-11-30,quai-maria-belgia,HD,4.55,162.0
Year 6,"('quai-maria-belgia', '2020-12-23')",2020-12-23,quai-maria-belgia,HD,3.5700000000000003,135.0
Year 6,"('quai-maria-belgia', '2021-01-31')",2021-01-31,quai-maria-belgia,HD,6.89,298.0
Year 6,"('quai-maria-belgia', '2021-02-28')",2021-02-28,quai-maria-belgia,HD,3.19,146.0
Year 6,"('quai-maria-belgia', '2021-03-29')",2021-03-29,quai-maria-belgia,HD,5.390000000000001,214.0
Year 6,"('tiger-duck-beach', '2020-11-24')",2020-11-24,tiger-duck-beach,SWE,48.550000000000004,971.0
Year 6,"('tiger-duck-beach', '2021-10-07')",2021-10-07,tiger-duck-beach,SWE,16.36,0.0
Year 6,"('vidy-ruines', '2020-12-01')",2020-12-01,vidy-ruines,PC,17.52,105.0
Year 6,"('vidy-ruines', '2021-03-04')",2021-03-04,vidy-ruines,PC,11.58,93.0
