slug,use,magnitude,hex minus,scaled,binned
aarezufluss_bern_scheurerk,Siedl,3506898,5845672.0,0.5999135770874588,12
aarezufluss_bern_scheurerk,Wald,1358621,5845672.0,0.23241485324527275,5
anarchy-beach,See,3756955,2088717.0,1.7986902964834393,
anarchy-beach,Siedl,2088269,2088717.0,0.9997855142654558,20
arabie,Reben,102778,2838114.0,0.036213485434341254,1
arabie,See,3007558,2838114.0,1.0597030281376998,
arabie,Siedl,2723425,2838114.0,0.959589713450552,20
arve_carouge_battistellak,Siedl,4179418,5845672.0,0.7149593750727034,15
arve_carouge_battistellak,Wald,484392,5845672.0,0.08286335600081565,2
ascona-traghetto-spiaggia,Fels,74162,3839917.0,0.019313438285254603,1
ascona-traghetto-spiaggia,See,2005755,3839917.0,0.5223433214832508,11
ascona-traghetto-spiaggia,Siedl,2942537,3839917.0,0.7663022403869667,16
ascona-traghetto-spiaggia,Wald,655454,3839917.0,0.17069483533107616,4
augustmutzenbergstrandweg,Reben,63344,3497821.0,0.018109560209055867,1
augustmutzenbergstrandweg,See,2347851,3497821.0,0.6712324615810815,14
augustmutzenbergstrandweg,Siedl,2479208,3497821.0,0.708786413026853,15
augustmutzenbergstrandweg,Wald,537981,3497821.0,0.1538046114995593,4
baby-plage-geneva,See,2142490,3703182.0,0.578553795087576,12
baby-plage-geneva,Siedl,3323503,3703182.0,0.8974722279380274,18
baby-plage-geneva,Stadtzentr,315921,3703182.0,0.08531068686335157,2
baby-plage-ii-geneve,See,2255579,3590093.0,0.6282787103286739,13
baby-plage-ii-geneve,Siedl,3357832,3590093.0,0.9353050185608005,19
baby-plage-ii-geneve,Stadtzentr,186644,3590093.0,0.05198862536430115,2
bain-des-dames,See,3086283,2759389.0,1.1184660807156948,
bain-des-dames,Siedl,2758946,2759389.0,0.9998394572131729,20
baye-de-clarens,Reben,65302,2691423.0,0.024263001393686538,1
baye-de-clarens,See,3154249,2691423.0,1.1719633071427271,
baye-de-clarens,Siedl,2625659,2691423.0,0.9755653422000183,20
baye-de-montreux-d,See,3391717,2453955.0,1.3821431118337542,
baye-de-montreux-d,Siedl,1818850,2453955.0,0.7411912606384388,15
baye-de-montreux-d,Wald,258527,2453955.0,0.10535115762106477,3
baye-de-montreux-g,See,3406857,2438815.0,1.396931296551809,
baye-de-montreux-g,Siedl,1810810,2438815.0,0.7424958432681446,15
baye-de-montreux-g,Wald,261621,2438815.0,0.10727381945740042,3
beich,Siedl,96019,5845672.0,0.01642565645147384,1
beich,Wald,1379849,5845672.0,0.23604625781261762,5
berlingen-swisslitterreport,See,2482369,3363303.0,0.7380747437860936,15
berlingen-swisslitterreport,Siedl,601250,3363303.0,0.1787677173302554,4
berlingen-swisslitterreport,Wald,1364309,3363303.0,0.405645581144488,9
bern-fahrstrasse,Siedl,2922655,5845672.0,0.4999690369216747,10
bern-fahrstrasse,Wald,1746783,5845672.0,0.2988164577143569,6
bern-tiergarten,Siedl,4345959,5845672.0,0.74344899953333,15
bern-tiergarten,Wald,939419,5845672.0,0.16070333744349666,4
bielersee_vinelz_fankhausers,Reben,65451,3917839.0,0.016705893223279467,1
bielersee_vinelz_fankhausers,See,1927833,3917839.0,0.4920653962554357,10
bielersee_vinelz_fankhausers,Siedl,1400611,3917839.0,0.35749580317108487,8
bielersee_vinelz_fankhausers,Sumpf,77676,3917839.0,0.019826235840727503,1
bielersee_vinelz_fankhausers,Wald,324998,3917839.0,0.0829533832298877,2
birs_basel_grunern,Siedl,4861755,5845672.0,0.8316845351569503,17
birs_basel_grunern,Wald,364109,5845672.0,0.062286936386441116,2
birs_basel_laderachs,Siedl,4651316,5845672.0,0.795685423335418,16
birs_basel_laderachs,Wald,562358,5845672.0,0.09620074475612042,2
birs_reinach_dinuccin,Siedl,4605804,5845672.0,0.7878998342705509,16
birs_reinach_dinuccin,Wald,1102127,5845672.0,0.18853726312389749,4
birskopfli-rusco,Siedl,5426358,5845672.0,0.9282693247243431,19
birskopfli-rusco,Stadtzentr,63453,5845672.0,0.010854697287155352,1
bodensee_altenrhein_caluoria,Obstanlage,23488,3378754.0,0.006951675084957354,1
bodensee_altenrhein_caluoria,See,2466918,3378754.0,0.7301265496097082,15
bodensee_altenrhein_caluoria,Siedl,1670089,3378754.0,0.49429138670646044,10
bodensee_altenrhein_caluoria,Sumpf,196729,3378754.0,0.05822531027710215,2
bodensee_arbon_moslis,See,3325045,2520627.0,1.3191340884629101,
bodensee_arbon_moslis,Siedl,2150884,2520627.0,0.8533130844032061,18
bodensee_horn_huberm,Obstanlage,595764,3110691.0,0.19152143366216703,4
bodensee_horn_huberm,See,2734981,3110691.0,0.8792197617828321,18
bodensee_horn_huberm,Siedl,1950085,3110691.0,0.6268976892915432,13
bodensee_horn_huberm,Wald,10385,3110691.0,0.003338486529198818,1
bodensee_steinach_dolder_a,Obstanlage,348226,4130751.0,0.0843008934694926,2
bodensee_steinach_dolder_a,See,1714921,4130751.0,0.4151596162537999,9
bodensee_steinach_dolder_a,Siedl,3182085,4130751.0,0.7703405506650002,16
bodensee_thal_schlachterj_1,Obstanlage,16883,3433082.0,0.0049177386383430395,1
bodensee_thal_schlachterj_1,See,2412590,3433082.0,0.7027475603553891,15
bodensee_thal_schlachterj_1,Siedl,1674749,3433082.0,0.487826681681358,10
bodensee_thal_schlachterj_1,Sumpf,188852,3433082.0,0.055009463799583,2
bodensee_thal_schlachterj_1,Wald,356,3433082.0,0.00010369691140497081,1
boiron,Obstanlage,238138,2092118.0,0.11382627557336632,3
boiron,Reben,178933,2092118.0,0.08552720257652771,2
boiron,See,3753554,2092118.0,1.7941406746655781,
boiron,Siedl,729937,2092118.0,0.34889858029040427,7
boiron,Wald,104484,2092118.0,0.049941733688061575,1
brugg-be-buren-bsg-standort,Siedl,2518239,5845672.0,0.4307869138056326,9
brugg-be-buren-bsg-standort,Wald,1214270,5845672.0,0.20772119954728901,5
camp-des-peches,Reben,390454,4393837.0,0.08886401566557886,2
camp-des-peches,See,1451835,4393837.0,0.33042532073902603,7
camp-des-peches,Siedl,1626003,4393837.0,0.37006447895085776,8
camp-des-peches,Wald,275463,4393837.0,0.06269304027436612,2
camping-gwatt-strand,See,2563168,3282504.0,0.7808575404630124,16
camping-gwatt-strand,Siedl,2737796,3282504.0,0.8340571709889767,17
camping-gwatt-strand,Wald,356973,3282504.0,0.1087502102053798,3
canale-saleggi,Reben,60157,5845672.0,0.01029086134151899,1
canale-saleggi,Siedl,2965823,5845672.0,0.5073536455688927,11
canale-saleggi,Wald,1864361,5845672.0,0.31893014182116275,7
caprino,Fels,368627,2925881.0,0.12598837751774594,3
