slug,magnitude,hex minus,use,scaled,binned
flibach-river-right-bank,0,0,Stadtzentr,0.0,0.0
flibach-river-right-bank,0,0,Reben,0.0,0.0
flibach-river-right-bank,0,0,Obstanlage,0.0,0.0
gals-reserve,816,0,dist,0.5450901803607214,11.0
gals-reserve,111855,3653090,Reben,0.030619283948657164,1.0
gals-reserve,681642,3653090,Siedl,0.18659326761727743,4.0
gals-reserve,1147377,3653090,Wald,0.3140839672715427,7.0
gals-reserve,1700794,3653090,undefined,0.46557681305415416,10.0
gals-reserve,88331,3653090,infrastructure,0.024179803946795725,1.0
gals-reserve,153941,3653090,recreation,0.042139941802693065,1.0
gals-reserve,49549,0,Strasse,0.22345721567054116,5.0
gals-reserve,1934,0,length,0.16061265483762974,4.0
gals-reserve,0,0,Stadtzentr,0.0,0.0
gals-reserve,0,0,Obstanlage,0.0,0.0
gasi-strand,749,0,dist,0.5003340013360054,11.0
gasi-strand,745865,3800631,Siedl,0.19624767571490104,4.0
gasi-strand,1628298,3800631,Wald,0.42842833203223357,9.0
gasi-strand,1376762,3800631,undefined,0.36224563763227735,8.0
gasi-strand,53807,3800631,infrastructure,0.014157385970908515,1.0
gasi-strand,106395,3800631,recreation,0.027994035727225294,1.0
gasi-strand,58338,0,Strasse,0.2731212811283332,6.0
gasi-strand,4517,0,length,0.37679946434549716,8.0
gasi-strand,0,0,Stadtzentr,0.0,0.0
gasi-strand,0,0,Reben,0.0,0.0
gasi-strand,0,0,Obstanlage,0.0,0.0
gerra-gambarogno,1346,0,dist,0.8991315965263861,18.0
gerra-gambarogno,638812,3093783,Siedl,0.2064824843888534,5.0
gerra-gambarogno,2129403,3093783,Wald,0.6882845370861499,14.0
gerra-gambarogno,253350,3093783,undefined,0.08189003559719606,2.0
gerra-gambarogno,26453,0,Strasse,0.0929484825025852,2.0
gerra-gambarogno,1830,0,length,0.15190826916638767,4.0
gerra-gambarogno,0,0,Stadtzentr,0.0,0.0
gerra-gambarogno,0,0,Reben,0.0,0.0
gerra-gambarogno,0,0,Obstanlage,0.0,0.0
gerra-gambarogno,0,0,infrastructure,0.0,0.0
gerra-gambarogno,0,0,recreation,0.0,0.0
grand-clos,1114,0,dist,0.7441549766199065,15.0
grand-clos,781085,2866568,Siedl,0.27248089003993625,6.0
grand-clos,1377375,2866568,Wald,0.48049618917116216,10.0
grand-clos,708108,2866568,undefined,0.24702292078890156,5.0
grand-clos,42872,2866568,infrastructure,0.01495586359716567,1.0
grand-clos,95027,2866568,recreation,0.033150094468367745,1.0
grand-clos,35120,0,Strasse,0.1419231616836847,3.0
grand-clos,1119,0,length,0.09240040174087713,2.0
grand-clos,0,0,Stadtzentr,0.0,0.0
grand-clos,0,0,Reben,0.0,0.0
grand-clos,0,0,Obstanlage,0.0,0.0
greifensee_fallanden_meistery,1322,0,dist,0.8830995323981295,18.0
greifensee_fallanden_meistery,774807,3581230,Siedl,0.21635220301404826,5.0
greifensee_fallanden_meistery,1046551,3581230,Wald,0.29223227773697863,6.0
